replication,metric,value
1,accuracy,0.9430225196707968
1,precision,0.10215053763440861
1,recall,0.3064516129032258
1,f_meas,0.1532258064516129
1,roc_auc,0.8230450354746722
1,pr_auc,0.09061825836870296
2,accuracy,0.9432938410056978
2,precision,0.10270270270270271
2,recall,0.3064516129032258
2,f_meas,0.15384615384615385
2,roc_auc,0.8268917105092666
2,pr_auc,0.09669170711796385
3,accuracy,0.9484489463688162
3,precision,0.10975609756097561
3,recall,0.2903225806451613
3,f_meas,0.15929203539823011
3,roc_auc,0.8245371180896595
3,pr_auc,0.09484436029585631
4,accuracy,0.9463688161345754
4,precision,0.10176125244618395
4,recall,0.27956989247311825
4,f_meas,0.1492109038737446
4,roc_auc,0.8187151769084761
4,pr_auc,0.09046288552476196
5,accuracy,0.9486298272587501
5,precision,0.0970464135021097
5,recall,0.24731182795698925
5,f_meas,0.1393939393939394
5,roc_auc,0.8186251672843701
5,pr_auc,0.08270044979411893
6,accuracy,0.9424798770009949
6,precision,0.10801393728222997
6,recall,0.3333333333333333
6,f_meas,0.16315789473684209
6,roc_auc,0.8188009827864012
6,pr_auc,0.08526765014366534
7,accuracy,0.9498055530433209
7,precision,0.1257606490872211
7,recall,0.3333333333333333
7,f_meas,0.18262150220913106
7,roc_auc,0.8281377503330851
7,pr_auc,0.09519121070543235
8,accuracy,0.9419372343311929
8,precision,0.10139860139860139
8,recall,0.3118279569892473
8,f_meas,0.15303430079155672
8,roc_auc,0.8229893976575737
8,pr_auc,0.08440296398868354
9,accuracy,0.9449217690151036
9,precision,0.1016949152542373
9,recall,0.2903225806451613
9,f_meas,0.1506276150627615
9,roc_auc,0.8186884707562688
9,pr_auc,0.08518146874497935
10,accuracy,0.9527900877272316
10,precision,0.11290322580645161
10,recall,0.26344086021505375
10,f_meas,0.15806451612903225
10,roc_auc,0.8286451672250231
10,pr_auc,0.0969520997826694
11,accuracy,0.94112327032649
11,precision,0.09982788296041308
11,recall,0.3118279569892473
11,f_meas,0.151238591916558
11,roc_auc,0.826520544449423
11,pr_auc,0.08266556126246273
12,accuracy,0.949986433933255
12,precision,0.10874200426439233
12,recall,0.27419354838709675
12,f_meas,0.15572519083969466
12,roc_auc,0.8189394591311796
12,pr_auc,0.0835077167772749
13,accuracy,0.9414850321063579
13,precision,0.10051993067590988
13,recall,0.3118279569892473
13,f_meas,0.15203145478374835
13,roc_auc,0.8234607117881945
13,pr_auc,0.08834314331375283
14,accuracy,0.9502577552681559
14,precision,0.1111111111111111
14,recall,0.27956989247311825
14,f_meas,0.15902140672782875
14,roc_auc,0.828339035591388
14,pr_auc,0.09446960036772249
15,accuracy,0.9522474450574296
15,precision,0.11659192825112108
15,recall,0.27956989247311825
15,f_meas,0.16455696202531644
15,roc_auc,0.8233422650575716
15,pr_auc,0.09022571168304401
16,accuracy,0.9511621597178258
16,precision,0.12017167381974249
16,recall,0.3010752688172043
16,f_meas,0.17177914110429449
16,roc_auc,0.8242431031361924
16,pr_auc,0.09242463043118328
17,accuracy,0.9487202677037171
17,precision,0.10559006211180125
