model,strategy,segment,n_observations,n_claims_captured,share_of_total_claims_captured,claim_rate_in_segment,baseline_claim_rate,lift
catboost,none,top_1_percent,111,21,0.11290322580645161,0.1891891891891892,0.01682192276386,11.246585294972391
catboost,none,top_5_percent,553,56,0.3010752688172043,0.10126582278481013,0.01682192276386,6.01987205662175
catboost,none,top_10_percent,1106,92,0.4946236559139785,0.08318264014466546,0.01682192276386,4.94489490365358
catboost,none,top_20_percent,2212,126,0.6774193548387096,0.056962025316455694,0.01682192276386,3.386178031849734
catboost,none,top_30_percent,3318,139,0.7473118279569892,0.04189270644966848,0.01682192276386,2.4903637377095933
catboost,smote,top_1_percent,111,17,0.0913978494623656,0.15315315315315314,0.01682192276386,9.104378572120506
catboost,smote,top_5_percent,553,58,0.3118279569892473,0.10488245931283906,0.01682192276386,6.234867487215384
catboost,smote,top_10_percent,1106,99,0.532258064516129,0.08951175406871609,0.01682192276386,5.3211369071924395
catboost,smote,top_20_percent,2212,131,0.7043010752688172,0.05922242314647378,0.01682192276386,3.520550175970756
catboost,smote,top_30_percent,3318,151,0.8118279569892473,0.04550934297769741,0.01682192276386,2.705359168303227
catboost,weighted,top_1_percent,111,17,0.0913978494623656,0.15315315315315314,0.01682192276386,9.104378572120506
catboost,weighted,top_5_percent,553,59,0.3172043010752688,0.10669077757685352,0.01682192276386,6.342365202512201
catboost,weighted,top_10_percent,1106,92,0.4946236559139785,0.08318264014466546,0.01682192276386,4.94489490365358
catboost,weighted,top_20_percent,2212,134,0.7204301075268817,0.06057866184448463,0.01682192276386,3.6011734624433682
catboost,weighted,top_30_percent,3318,146,0.7849462365591398,0.044002411091018684,0.01682192276386,2.6157777388892125
