model,balancing_strategy,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives
logistic_regression,none,0.06999999999999999,0.9522474450574296,0.11486486486486487,0.27419354838709675,0.1619047619047619,0.825967875466245,0.08486184494087308,444,393,135,51,10478
logistic_regression,smote,0.5,0.9022338789906846,0.08526413345690455,0.4946236559139785,0.14545454545454548,0.8277952686589456,0.08360616820048411,1079,987,94,92,9884
decision_tree,none,0.01,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.5,0.50841096138193,11057,10871,0,186,0
decision_tree,smote,0.43,0.8965361309577643,0.08492201039861352,0.5268817204301075,0.14626865671641795,0.7372497905545284,0.2071091681163072,1154,1056,88,98,9815
random_forest,none,0.08,0.9586687166500859,0.11396011396011396,0.21505376344086022,0.14897579143389197,0.8174169611761786,0.08276480970235107,351,311,146,40,10560
random_forest,smote,0.49,0.9009677127611467,0.08340971585701192,0.489247311827957,0.14252153484729835,0.8011499471317098,0.08035588724468606,1091,1000,95,91,9871
xgboost,none,0.08,0.9503481957131229,0.11464968152866242,0.2903225806451613,0.1643835616438356,0.8302608894335625,0.10150588515700701,471,417,132,54,10454
xgboost,smote,0.47,0.9131771728316903,0.08476394849785408,0.42473118279569894,0.14132379248658317,0.821797511975731,0.08451354663124079,932,853,107,79,10018
catboost,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
catboost,smote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
