metric,value
duration_min,-2
duration_q1,11
duration_median,25
duration_mean,52.71503509152738
duration_q3,57
duration_max,4881
net_sales_min,-389
net_sales_q1,19.167499999999997
net_sales_median,29
net_sales_mean,42.78871572245134
net_sales_q3,50.5
net_sales_max,810
commision_in_value_min,0
commision_in_value_q1,0
commision_in_value_median,0
commision_in_value_mean,10.680707437956734
commision_in_value_q3,11.88
commision_in_value_max,283.5
age_min,0
age_q1,34
age_median,36
age_mean,39.9779321322625
age_q3,45
age_max,118
