config_id,model,model_variant,status,reason,cv_roc_auc,cv_pr_auc,cv_threshold,cv_accuracy_at_threshold,cv_precision_at_threshold,cv_recall_at_threshold,cv_f1_at_threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,mtry,scale_pos_weight,smote_over_ratio,fit_path
catboost_tuning_skipped,catboost,catboost,skipped,Package catboost indisponible pour cette version de R via CRAN ; configuration conservee mais non executee.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
random_forest_1,random_forest,random_forest,trained,NA,0.7890245043110594,0.07437733641273273,0.060000000000000005,0.9161824225020915,0.08305274971941638,0.40272108843537413,0.13770644335892065,100,NA,NA,NA,10,NA,8,NA,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_random_forest_1_fit.rds
random_forest_2,random_forest,random_forest,trained,NA,0.78308839032716,0.07190795187981802,0.09,0.9508897279942117,0.0942970073404856,0.2272108843537415,0.13328012769353553,150,NA,NA,NA,15,NA,16,NA,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_random_forest_2_fit.rds
random_forest_3,random_forest,random_forest,trained,NA,0.7755505430352035,0.06550755500216186,0.11,0.9601148619621498,0.10147172734314484,0.1782312925170068,0.1293188548864758,200,NA,NA,NA,20,NA,21,NA,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_random_forest_3_fit.rds
random_forest_4,random_forest,random_forest,trained,NA,0.7660600807967811,0.062453803850017885,0.09999999999999999,0.9496913650032786,0.08930540242557883,0.22040816326530613,0.12710867006669282,150,NA,NA,NA,30,NA,32,NA,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_random_forest_4_fit.rds
xgboost_none_2,xgboost,xgboost_none,trained,NA,0.8109176541029361,0.08456218378643093,0.09999999999999999,0.9660614556718746,0.1324376199616123,0.18775510204081633,0.15531795160382666,150,3,0.03,0,15,0.8,16,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_2_fit.rds
xgboost_none_5,xgboost,xgboost_none,trained,NA,0.8106506881240494,0.08473790994001405,0.09,0.959662649512741,0.1168736303871439,0.21768707482993196,0.1520912547528517,200,5,0.02,0,10,0.7,8,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_5_fit.rds
xgboost_none_6,xgboost,xgboost_none,trained,NA,0.8101599261980154,0.08111194262333343,0.06999999999999999,0.9344970267031452,0.09814126394052045,0.35918367346938773,0.15416058394160584,100,2,0.08,0,10,0.9,16,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_6_fit.rds
xgboost_none_1,xgboost,xgboost_none,trained,NA,0.809643637644518,0.08236509292590069,0.06999999999999999,0.9399914079634613,0.10103950103950105,0.3306122448979592,0.15477707006369426,100,3,0.05,0,10,0.8,8,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_1_fit.rds
xgboost_none_4,xgboost,xgboost_none,trained,NA,0.8094955769487047,0.08188713917370123,0.060000000000000005,0.9239604766319217,0.09344059405940594,0.4108843537414966,0.15225611293168642,150,4,0.03,1,20,0.8,32,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_4_fit.rds
xgboost_none_3,xgboost,xgboost_none,trained,NA,0.8089641632427826,0.08219517242299339,0.08,0.9479729576955254,0.1017293997965412,0.272108843537415,0.14809329877823027,200,4,0.05,0,10,0.7,21,1,NA,C:/Users/abdou/OneDrive/Documents/ACT209/travel-insurance-ml-agent/models/tuning_xgboost_none_3_fit.rds
