config_id,model,strategy,status,reason,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives
no_tariff_clean__logistic_regression__none,logistic_regression,none,trained,NA,0.04,0.757795012096683,0.029164700330344503,0.4204081632653061,0.05454545454545455,0.555928355891239,0.12189697567160121,10595,10286,426,309,33206
no_tariff_clean__decision_tree__none,decision_tree,none,trained,NA,0.01,0.016618807515770908,0.016618807515770908,1,0.03269427516569547,0.4875527972616435,0.10501490099558806,44227,43492,0,735,0
no_tariff_clean__random_forest__none,random_forest,none,trained,NA,0.08,0.9619463223822552,0.11400651465798045,0.19047619047619047,0.14263881813550688,0.7934093438718263,0.07079668593828119,1228,1088,595,140,42404
no_tariff_clean__xgboost__none,xgboost,none,trained,NA,0.09,0.9642299952517693,0.11604714415231188,0.17414965986394557,0.13928182807399345,0.8010494540867943,0.07149584253855547,1103,975,607,128,42517
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,trained,NA,0.35000000000000003,0.7981549732064124,0.045192094159449255,0.5537414965986395,0.08356431577866749,0.6677831125092362,0.18089179051820753,9006,8599,328,407,34893
no_tariff_clean__decision_tree__smote,decision_tree,smote,trained,NA,0.35000000000000003,0.9642978271191806,0.11566484517304189,0.1727891156462585,0.13857064920894707,0.756293518051017,0.07643120279476139,1098,971,608,127,42521
no_tariff_clean__random_forest__smote,random_forest,smote,trained,NA,0.44,0.9562258348972347,0.10674525212835625,0.2217687074829932,0.14412024756852346,0.7884512031612976,0.06796167340013139,1527,1364,572,163,42128
no_tariff_clean__xgboost__smote,xgboost,smote,trained,NA,0.39,0.95753725100052,0.10882956878850103,0.2163265306122449,0.1448087431693989,0.7970519717129931,0.07197042906858399,1461,1302,576,159,42190
no_tariff_clean__catboost__none,catboost,none,trained,NA,0.09999999999999999,0.9671241549279852,0.12434691745036573,0.1619047619047619,0.14066193853427897,0.7964367518367597,0.06984197636690444,957,838,616,119,42654
no_tariff_clean__catboost__weighted,catboost,weighted,trained,NA,0.5,0.841793474574355,0.06489716509171763,0.6353741496598639,0.11776572941621487,0.8079273786218248,0.07156360106401569,7196,6729,268,467,36763
