config_id,model,strategy,threshold,accuracy,precision,recall,f1
no_tariff_clean__logistic_regression__none,logistic_regression,none,0.04,0.757795012096683,0.029164700330344503,0.4204081632653061,0.05454545454545455
no_tariff_clean__decision_tree__none,decision_tree,none,0.01,0.016618807515770908,0.016618807515770908,1,0.03269427516569547
no_tariff_clean__random_forest__none,random_forest,none,0.08,0.9619463223822552,0.11400651465798045,0.19047619047619047,0.14263881813550688
no_tariff_clean__xgboost__none,xgboost,none,0.09,0.9642299952517693,0.11604714415231188,0.17414965986394557,0.13928182807399345
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,0.35000000000000003,0.7981549732064124,0.045192094159449255,0.5537414965986395,0.08356431577866749
no_tariff_clean__decision_tree__smote,decision_tree,smote,0.35000000000000003,0.9642978271191806,0.11566484517304189,0.1727891156462585,0.13857064920894707
no_tariff_clean__random_forest__smote,random_forest,smote,0.44,0.9562258348972347,0.10674525212835625,0.2217687074829932,0.14412024756852346
no_tariff_clean__xgboost__smote,xgboost,smote,0.39,0.95753725100052,0.10882956878850103,0.2163265306122449,0.1448087431693989
no_tariff_clean__catboost__none,catboost,none,0.09999999999999999,0.9671241549279852,0.12434691745036573,0.1619047619047619,0.14066193853427897
no_tariff_clean__catboost__weighted,catboost,weighted,0.5,0.841793474574355,0.06489716509171763,0.6353741496598639,0.11776572941621487
