config_id,model,strategy,segment,n_observations,n_claims_captured,share_of_total_claims_captured,claim_rate_in_segment,baseline_claim_rate,lift
no_tariff_clean__logistic_regression__none,logistic_regression,none,top_1_percent,111,11,0.05913978494623656,0.0990990990990991,0.01682192276386,5.8910684878426816
no_tariff_clean__logistic_regression__none,logistic_regression,none,top_5_percent,553,50,0.26881720430107525,0.09041591320072333,0.01682192276386,5.374885764840848
no_tariff_clean__logistic_regression__none,logistic_regression,none,top_10_percent,1106,86,0.46236559139784944,0.07775768535262206,0.01682192276386,4.62240175776313
no_tariff_clean__logistic_regression__none,logistic_regression,none,top_20_percent,2212,124,0.6666666666666666,0.05605786618444846,0.01682192276386,3.3324291742013257
no_tariff_clean__logistic_regression__none,logistic_regression,none,top_30_percent,3318,147,0.7903225806451613,0.04430379746835443,0.01682192276386,2.6336940247720158
no_tariff_clean__decision_tree__none,decision_tree,none,top_1_percent,111,1,0.005376344086021506,0.009009009009009009,0.01682192276386,0.535551680712971
no_tariff_clean__decision_tree__none,decision_tree,none,top_5_percent,553,3,0.016129032258064516,0.0054249547920434,0.01682192276386,0.3224931458904509
no_tariff_clean__decision_tree__none,decision_tree,none,top_10_percent,1106,9,0.04838709677419355,0.0081374321880651,0.01682192276386,0.48373971883567635
no_tariff_clean__decision_tree__none,decision_tree,none,top_20_percent,2212,24,0.12903225806451613,0.0108499095840868,0.01682192276386,0.6449862917809018
no_tariff_clean__decision_tree__none,decision_tree,none,top_30_percent,3318,33,0.1774193548387097,0.009945750452079566,0.01682192276386,0.5912374341324933
no_tariff_clean__random_forest__none,random_forest,none,top_1_percent,111,14,0.07526881720430108,0.12612612612612611,0.01682192276386,7.497723529981593
no_tariff_clean__random_forest__none,random_forest,none,top_5_percent,553,52,0.27956989247311825,0.09403254972875226,0.01682192276386,5.589881195434482
no_tariff_clean__random_forest__none,random_forest,none,top_10_percent,1106,83,0.44623655913978494,0.07504520795660036,0.01682192276386,4.461155184817904
no_tariff_clean__random_forest__none,random_forest,none,top_20_percent,2212,130,0.6989247311827957,0.05877034358047016,0.01682192276386,3.4936757471465514
no_tariff_clean__random_forest__none,random_forest,none,top_30_percent,3318,145,0.7795698924731183,0.043701024713682944,0.01682192276386,2.59786145300641
no_tariff_clean__xgboost__none,xgboost,none,top_1_percent,111,15,0.08064516129032258,0.13513513513513514,0.01682192276386,8.033275210694566
no_tariff_clean__xgboost__none,xgboost,none,top_5_percent,553,54,0.2903225806451613,0.09764918625678119,0.01682192276386,5.804876626028116
no_tariff_clean__xgboost__none,xgboost,none,top_10_percent,1106,94,0.5053763440860215,0.08499095840867993,0.01682192276386,5.052392618950398
no_tariff_clean__xgboost__none,xgboost,none,top_20_percent,2212,132,0.7096774193548387,0.059674502712477394,0.01682192276386,3.54742460479496
no_tariff_clean__xgboost__none,xgboost,none,top_30_percent,3318,145,0.7795698924731183,0.043701024713682944,0.01682192276386,2.59786145300641
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,top_1_percent,111,1,0.005376344086021506,0.009009009009009009,0.01682192276386,0.535551680712971
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,top_5_percent,553,2,0.010752688172043012,0.003616636528028933,0.01682192276386,0.21499543059363393
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,top_10_percent,1106,4,0.021505376344086023,0.003616636528028933,0.01682192276386,0.21499543059363393
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,top_20_percent,2212,16,0.08602150537634409,0.007233273056057866,0.01682192276386,0.42999086118726787
no_tariff_clean__logistic_regression__smote,logistic_regression,smote,top_30_percent,3318,25,0.13440860215053763,0.007534659433393611,0.01682192276386,0.44790714707007073
