seed,train_prop,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
1,0.8,xgboost,none,NA,0.06999999999999999,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.9437460432305327,0.10707456978967496,0.26540284360189575,0.15258855585831063,0.8019559485533356,0.09708272992453093,523,467,155,56,10379,1
1,0.8,xgboost,smote_10,0.111,0.5,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.7965089988242742,0.03212482790270767,0.33175355450236965,0.05857740585774059,0.6110525819027784,0.03661191449906096,2179,2109,141,70,8737,2
1,0.8,xgboost,smote_03,0.03,0.03,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.8143257664827711,0.03343465045592705,0.3127962085308057,0.06041189931350115,0.5769392782889798,0.07862286560810704,1974,1908,145,66,8938,3
1,0.8,xgboost,smote_05,0.05,0.33,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.8478791715655241,0.03063178047223995,0.22748815165876776,0.05399325084364454,0.5714276038603351,0.029092385720827556,1567,1519,163,48,9327,4
1,0.8,xgboost,smote_15,0.176,0.5,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.0201682192276386,0.019016571583808747,0.995260663507109,0.03732006397725253,0.5672351306922507,0.032400961584517475,11043,10833,1,210,13,5
1,0.8,xgboost,smote_08,0.087,0.01,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.5404012486748997,0.041567410129218774,11057,10846,0,211,0,6
1,0.8,xgboost,smote_02,0.02,0.05,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.8676856290132947,0.02503793626707132,0.15639810426540285,0.04316546762589928,0.5230456026770304,0.02259229772265926,1318,1285,178,33,9561,7
1,0.8,xgboost,smote_30,0.3,0.5,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.529619245726689,0.020929339477726575,0.5165876777251185,0.040228824506366494,0.5025929580258911,0.028703468972651858,5208,5099,102,109,5747,8
1,0.8,xgboost,smote_20,0.25,0.01,100,4,0.05,0,10,44227,11057,0.016053541954009994,0.01908293388803473,0.01908293388803473,0.01908293388803473,1,0.03745118920837771,0.5018592916077126,0.02105477073685684,11057,10846,0,211,0,9
1,0.8,xgboost,none,NA,0.06999999999999999,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.9474541014741793,0.11297071129707113,0.2559241706161137,0.1567489114658926,0.7958012782138216,0.08567063611840868,478,424,157,54,10422,1
1,0.8,xgboost,smote_15,0.176,0.14,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.9224020982183232,0.042432814710042434,0.14218009478672985,0.06535947712418301,0.6308054250240113,0.034228742855311474,707,677,181,30,10169,2
1,0.8,xgboost,smote_30,0.3,0.08,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.7844804196436647,0.03189655172413793,0.35071090047393366,0.0584749111023311,0.6108238300445793,0.02554843942149828,2320,2246,137,74,8600,3
1,0.8,xgboost,smote_20,0.25,0.04,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.7010943293841005,0.025168815224063844,0.3886255924170616,0.04727587200922456,0.6049337427998878,0.026905672200532072,3258,3176,129,82,7670,4
1,0.8,xgboost,smote_10,0.111,0.2,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.8850501944469567,0.03590192644483362,0.1943127962085308,0.0606060606060606,0.5923377522278727,0.028153465598682738,1142,1101,170,41,9745,5
1,0.8,xgboost,smote_02,0.02,0.04,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.890114859365108,0.03171641791044776,0.16113744075829384,0.053000779423226806,0.570933831941013,0.03171377621527531,1072,1038,177,34,9808,6
1,0.8,xgboost,smote_05,0.05,0.18000000000000002,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.8124265171384644,0.027876330461226558,0.26066350710900477,0.05036630036630037,0.540695982444442,0.02480256929650946,1973,1918,156,55,8928,7
1,0.8,xgboost,smote_03,0.03,0.03,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.7139368725694131,0.024177949709864602,0.35545023696682465,0.04527618472683368,0.5007369436654306,0.02172349375532732,3102,3027,136,75,7819,8
1,0.8,xgboost,smote_08,0.087,0.26,150,3,0.05,0,20,44227,11057,0.016053541954009994,0.01908293388803473,0.06339875192185945,0.018783796603737787,0.9383886255924171,0.036830357142857144,0.46023038611216227,0.023566924854677755,10541,10343,13,198,503,9
1,0.8,xgboost,none,NA,0.08,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.9623767748937325,0.13261648745519714,0.17535545023696683,0.1510204081632653,0.7925847692774238,0.08511987162065345,279,242,174,37,10604,1
1,0.8,xgboost,smote_15,0.176,0.15000000000000002,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.8344035452654427,0.03233256351039261,0.26540284360189575,0.05764282038085435,0.6092479110826015,0.028382807235401313,1732,1676,155,56,9170,2
1,0.8,xgboost,smote_02,0.02,0.05,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.8249072985439089,0.03099510603588907,0.27014218009478674,0.05560975609756098,0.5945761121010825,0.026554704358199746,1839,1782,154,57,9064,3
1,0.8,xgboost,smote_30,0.3,0.13,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.28117934340236955,0.023055110343977316,0.8862559241706162,0.044941119923095414,0.5747223297644839,0.029150171447254538,8111,7924,24,187,2922,4
1,0.8,xgboost,smote_20,0.25,0.13,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.9347019987338337,0.024208566108007448,0.061611374407582936,0.034759358288770054,0.5604247924191591,0.04480410700484962,537,524,198,13,10322,5
1,0.8,xgboost,smote_10,0.111,0.27,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.6943112960115764,0.023458646616541352,0.3696682464454976,0.044117647058823525,0.5434788023278069,0.04010226494703835,3325,3247,133,78,7599,6
1,0.8,xgboost,smote_08,0.087,0.21000000000000002,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.6278375689608393,0.023902439024390244,0.46445497630331756,0.04546508930642543,0.5115595065077391,0.02656339885117551,4100,4002,113,98,6844,7
1,0.8,xgboost,smote_03,0.03,0.04,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.8075427331102469,0.03175378602833415,0.3080568720379147,0.05757307351638618,0.5021693191977649,0.02520392842719042,2047,1982,146,65,8864,8
1,0.8,xgboost,smote_05,0.05,0.27,200,3,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.17337433300171837,0.01968800430338892,0.8672985781990521,0.03850199873763939,0.4730365574746144,0.026777763020020575,9295,9112,28,183,1734,9
1,0.8,xgboost,none,NA,0.09,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.9643664646830062,0.1411764705882353,0.17061611374407584,0.15450643776824033,0.7888235818477207,0.10250848921552112,255,219,175,36,10627,1
1,0.8,xgboost,smote_02,0.02,0.05,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.9560459437460432,0.10826210826210826,0.18009478672985782,0.13523131672597863,0.6424848787811787,0.07705797609595523,351,313,173,38,10533,2
1,0.8,xgboost,smote_30,0.3,0.5,100,2,0.03,0.5,25,44227,11057,0.016053541954009994,0.01908293388803473,0.7663018902052998,0.03525264394829612,0.4265402843601896,0.06512301013024602,0.6225037207680469,0.2360476670619352,2553,2463,121,90,8383,3
