config_id,model,strategy,over_ratio,threshold,trees,tree_depth,learn_rate,loss_reduction,min_n,sample_size,n_train,n_test,train_yes_rate,test_yes_rate,accuracy,precision,recall,f1,roc_auc,pr_auc,predicted_positive,false_positives,false_negatives,true_positives,true_negatives,rank
2,xgboost,none,NA,0.08,200,4,0.03,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.9567694673057792,0.10540540540540541,0.20967741935483872,0.14028776978417268,0.8184886691730885,0.08551104234572222,370,331,147,39,10540,1
6,xgboost,none,NA,0.08,100,4,0.05,0.5,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.9585782762051189,0.11142857142857143,0.20967741935483872,0.1455223880597015,0.8184147326961443,0.0874011111488495,350,311,147,39,10560,2
5,xgboost,none,NA,0.08,100,4,0.05,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.9585782762051189,0.10919540229885058,0.20430107526881722,0.14232209737827717,0.8179320437229167,0.0794943218845626,348,310,148,38,10561,3
1,xgboost,none,NA,0.08,200,4,0.05,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.9553224201863073,0.10309278350515463,0.21505376344086022,0.13937282229965156,0.8162787350779375,0.07871972460471997,388,348,146,40,10523,4
3,xgboost,none,NA,0.06999999999999999,100,3,0.03,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.9450122094600706,0.09885931558935361,0.27956989247311825,0.14606741573033707,0.8087446328052439,0.08129335188991606,526,474,134,52,10397,5
7,xgboost,none,NA,0.08,100,4,0.03,0.5,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.9594826806547888,0.11695906432748537,0.21505376344086022,0.15151515151515152,0.8058178363466775,0.08395811704111417,342,302,146,40,10569,6
4,xgboost,none,NA,0.08,100,3,0.05,0,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.957764312200416,0.10644257703081232,0.20430107526881722,0.13996316758747698,0.8057129899713453,0.07999107336387286,357,319,148,38,10552,7
8,xgboost,none,NA,0.09,100,3,0.03,0.5,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.9648186669078412,0.13357400722021662,0.1989247311827957,0.1598272138228942,0.8036175461398235,0.07902245056830681,277,240,149,37,10631,8
43,xgboost,smote_50,0.5,0.5,100,4,0.05,0,10,1,44227,11057,0.016618807515770908,0.01682192276386,0.4125893099394049,0.021828103683492497,0.7741935483870968,0.042459088898717384,0.613176963866576,0.02457984818173734,6597,6453,42,144,4418,9
70,xgboost,smote_30,0.3,0.01,100,4,0.03,0,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.01682192276386,0.01682192276386,1,0.0330872542915592,0.6123196469248855,0.09019959777482461,11057,10871,0,186,0,10
69,xgboost,smote_75,0.75,0.17,200,3,0.03,1,50,1,44227,11057,0.016618807515770908,0.01682192276386,0.9131771728316903,0.03033980582524272,0.13440860215053763,0.04950495049504951,0.6094373607199979,0.035653413573534264,824,799,161,25,10072,11
35,xgboost,smote_30,0.3,0.18000000000000002,200,3,0.05,0.5,10,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.9395857827620512,0.03474903474903475,0.0967741935483871,0.05113636363636363,0.6094121382429132,0.025252780066175887,518,500,168,18,10371,12
68,xgboost,smote_50,0.5,0.01,400,2,0.05,0.5,25,0.7,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.608105267739067,0.04814670853964882,0,0,186,0,10871,13
12,xgboost,smote_75,0.75,0.01,400,3,0.05,0,25,1,44227,11057,0.016618807515770908,0.01682192276386,0.98317807723614,NA,0,NA,0.606457399236204,0.030142355126834452,0,0,186,0,10871,14
