feature,mean_abs_shap,feature_group
agency_C2B,0.6923610501903041,Agence
net_sales,0.3526590203056888,Net sales
product_name_Cancellation.Plan,0.30936247091903774,Produit
duration,0.14318349042687487,Durée du voyage
age,0.049462113158211314,Âge
agency_JZI,0.039564262735998945,Agence
commision_in_value,0.03889310404460242,Commission
product_name_X1.way.Comprehensive.Plan,0.0281984710056738,Produit
product_name_X2.way.Comprehensive.Plan,0.026321472019763044,Produit
agency_type_Airlines,0.025567185764446176,Agence
destination_CHINA,0.024472704162160647,Destination
agency_LWC,0.022369903685979728,Agence
destination_MALAYSIA,0.011211900253702022,Destination
destination_THAILAND,0.010017707296859494,Destination
product_name_other,0.009598250353677782,Produit
agency_EPX,0.009481091928719952,Agence
agency_CWT,0.004743881287367234,Agence
destination_PHILIPPINES,0.0046204837228776205,Destination
gender_F,0.003487396710284663,Genre
product_name_Gold.Plan,0.00228956475831136,Produit
product_name_Bronze.Plan,0.0010463456019855126,Produit
destination_INDIA,9.928491971494743e-4,Destination
agency_ART,0,Agence
agency_JWT,0,Agence
agency_KML,0,Agence
agency_RAB,0,Agence
agency_SSI,0,Agence
agency_TST,0,Agence
agency_other,0,Agence
agency_type_Travel.Agency,0,Agence
distribution_channel_Offline,0,Canal de distribution
distribution_channel_Online,0,Canal de distribution
product_name_Annual.Silver.Plan,0,Produit
product_name_Basic.Plan,0,Produit
product_name_Comprehensive.Plan,0,Produit
product_name_Rental.Vehicle.Excess.Insurance,0,Produit
product_name_Silver.Plan,0,Produit
product_name_Ticket.Protector,0,Produit
product_name_Travel.Cruise.Protect,0,Produit
product_name_Value.Plan,0,Produit
destination_AUSTRALIA,0,Destination
destination_BRUNEI.DARUSSALAM,0,Destination
destination_CAMBODIA,0,Destination
destination_CANADA,0,Destination
destination_FRANCE,0,Destination
destination_GERMANY,0,Destination
destination_HONG.KONG,0,Destination
destination_INDONESIA,0,Destination
destination_ITALY,0,Destination
destination_JAPAN,0,Destination
destination_KOREA..REPUBLIC.OF,0,Destination
destination_MYANMAR,0,Destination
destination_NETHERLANDS,0,Destination
destination_NEW.ZEALAND,0,Destination
destination_SINGAPORE,0,Destination
destination_SPAIN,0,Destination
destination_SWITZERLAND,0,Destination
destination_TAIWAN..PROVINCE.OF.CHINA,0,Destination
destination_UNITED.ARAB.EMIRATES,0,Destination
destination_UNITED.KINGDOM,0,Destination
destination_UNITED.STATES,0,Destination
destination_VIET.NAM,0,Destination
destination_other,0,Destination
gender_M,0,Genre
