model,metric,value_none,value_smote,difference_smote_minus_none
logistic_regression,accuracy,0.9628289771185674,0.9022338789906846,-0.060595098127882774
logistic_regression,precision,0.12374581939799331,0.08526413345690455,-0.038481685941088764
logistic_regression,recall,0.1989247311827957,0.4946236559139785,0.2956989247311828
logistic_regression,f1,0.15257731958762888,0.14545454545454548,-0.007122774133083404
logistic_regression,roc_auc,0.825967875466245,0.8277952686589456,0.0018273931927006437
logistic_regression,pr_auc,0.08486184494087308,0.08360616820048411,-0.0012556767403889696
logistic_regression,predicted_positive,299,1079,780
logistic_regression,false_positives,262,987,725
logistic_regression,false_negatives,149,94,-55
logistic_regression,true_positives,37,92,55
logistic_regression,true_negatives,10609,9884,-725
decision_tree,accuracy,0.01682192276386,0.8965361309577643,0.8797142081939043
decision_tree,precision,0.01682192276386,0.08492201039861352,0.06810008763475353
decision_tree,recall,1,0.5268817204301075,-0.4731182795698925
decision_tree,f1,0.0330872542915592,0.14626865671641795,0.11318140242485875
decision_tree,roc_auc,0.5,0.7372497905545284,0.23724979055452844
decision_tree,pr_auc,0.50841096138193,0.2071091681163072,-0.3013017932656228
decision_tree,predicted_positive,11057,1154,-9903
decision_tree,false_positives,10871,1056,-9815
decision_tree,false_negatives,0,88,88
decision_tree,true_positives,186,98,-88
decision_tree,true_negatives,0,9815,9815
random_forest,accuracy,0.9472732205842452,0.8974405354074342,-0.049832685176811053
random_forest,precision,0.10536779324055666,0.082010582010582,-0.023357211229974653
random_forest,recall,0.2849462365591398,0.5,0.2150537634408602
random_forest,f1,0.15384615384615385,0.1409090909090909,-0.012937062937062954
random_forest,roc_auc,0.8174169611761786,0.8011499471317098,-0.01626701404446873
random_forest,pr_auc,0.08276480970235107,0.08035588724468606,-0.002408922457665011
random_forest,predicted_positive,503,1134,631
random_forest,false_positives,450,1041,591
random_forest,false_negatives,133,93,-40
random_forest,true_positives,53,93,40
random_forest,true_negatives,10421,9830,-591
xgboost,accuracy,0.9621958940037985,0.9153477435108981,-0.046848150492900364
xgboost,precision,0.1282051282051282,0.08517699115044247,-0.04302813705468572
xgboost,recall,0.21505376344086022,0.41397849462365593,0.19892473118279572
xgboost,f1,0.16064257028112447,0.14128440366972478,-0.01935816661139969
xgboost,roc_auc,0.8302608894335625,0.821797511975731,-0.008463377457831434
xgboost,pr_auc,0.10150588515700701,0.08451354663124079,-0.016992338525766218
xgboost,predicted_positive,312,904,592
xgboost,false_positives,272,827,555
xgboost,false_negatives,146,109,-37
xgboost,true_positives,40,77,37
xgboost,true_negatives,10599,10044,-555
