config_id,model,strategy,threshold,accuracy,precision,recall,f1_score,positives_predicted,positive_prediction_rate,false_positives,false_negatives,true_positives,true_negatives
xgboost__smote,xgboost,smote,0.01,0.01890205299810075,0.016856987493202826,1,0.033155080213903745,11034,0.9979198697657592,10848,0,186,23
xgboost__smote,xgboost,smote,0.02,0.1024690241475988,0.018302334784329244,0.9946236559139785,0.03594326792306198,10108,0.9141720177263272,9923,1,185,948
xgboost__smote,xgboost,smote,0.03,0.26734195532242017,0.02175226586102719,0.967741935483871,0.04254816215577355,8275,0.7483946821018359,8095,6,180,2776
xgboost__smote,xgboost,smote,0.04,0.34222664375508727,0.02404298186702485,0.9623655913978495,0.04691390381339274,7445,0.6733291127792349,7266,7,179,3605
xgboost__smote,xgboost,smote,0.05,0.395043863615809,0.025397752152970368,0.9354838709677419,0.049452891857325564,6851,0.6196074884688433,6677,12,174,4194
xgboost__smote,xgboost,smote,0.060000000000000005,0.4244370082300805,0.026662580447441006,0.9354838709677419,0.05184743742550656,6526,0.5902143438545717,6352,12,174,4519
xgboost__smote,xgboost,smote,0.06999999999999999,0.4597992222121733,0.028208054785586172,0.9301075268817204,0.054755499287862,6133,0.5546712489825449,5960,13,173,4911
xgboost__smote,xgboost,smote,0.08,0.49208646106538845,0.029625779625779627,0.9193548387096774,0.05740181268882176,5772,0.5220222483494619,5601,15,171,5270
xgboost__smote,xgboost,smote,0.09,0.520665641674957,0.029963235294117648,0.8763440860215054,0.0579452541770352,5440,0.49199602062042147,5277,23,163,5594
xgboost__smote,xgboost,smote,0.09999999999999999,0.5515962738536674,0.03160581075775422,0.8655913978494624,0.060984848484848475,5094,0.46070362666184317,4933,25,161,5938
xgboost__smote,xgboost,smote,0.11,0.5647101383738808,0.03215369059656219,0.8548387096774194,0.06197622295848763,4945,0.4472280003617618,4786,27,159,6085
xgboost__smote,xgboost,smote,0.12,0.5871393687256942,0.03345408054549329,0.8440860215053764,0.06435745029719205,4693,0.4244370082300805,4536,29,157,6335
xgboost__smote,xgboost,smote,0.13,0.6042326128244551,0.0346512661039538,0.8387096774193549,0.06655290102389079,4502,0.40716288324138555,4346,30,156,6525
xgboost__smote,xgboost,smote,0.14,0.6187030840191734,0.03592814371257485,0.8387096774193549,0.06890459363957598,4342,0.39269241204666727,4186,30,156,6685
xgboost__smote,xgboost,smote,0.15000000000000002,0.6330831147689246,0.037072470700789284,0.8333333333333334,0.07098694756125486,4181,0.378131500406982,4026,31,155,6845
xgboost__smote,xgboost,smote,0.16,0.6513520846522565,0.03825824314120312,0.8172043010752689,0.07309449386871845,3973,0.3593198878538482,3821,34,152,7050
xgboost__smote,xgboost,smote,0.17,0.6706158994302251,0.039936102236421724,0.8064516129032258,0.076103500761035,3756,0.3396943112960116,3606,36,150,7265
xgboost__smote,xgboost,smote,0.18000000000000002,0.6839106448403726,0.04156275976724855,0.8064516129032258,0.07905138339920949,3609,0.32639956588586416,3459,36,150,7412
xgboost__smote,xgboost,smote,0.19,0.7081486840915258,0.04435121366496853,0.7956989247311828,0.08401930173147885,3337,0.3017997648548431,3189,38,148,7682
