model,balancing_strategy,smote_applied,training_rows_used,n_no_training,n_yes_training,prop_no_training,prop_yes_training,test_rows_used,n_no_test,n_yes_test,prop_no_test,prop_yes_test
logistic_regression,none,FALSE,44227,43492,735,0.9833811924842291,0.016618807515770908,11057,10871,186,0.98317807723614,0.01682192276386
logistic_regression,smote,TRUE,56539,43492,13047,0.7692389324183307,0.23076106758166928,11057,10871,186,0.98317807723614,0.01682192276386
decision_tree,none,FALSE,44227,43492,735,0.9833811924842291,0.016618807515770908,11057,10871,186,0.98317807723614,0.01682192276386
decision_tree,smote,TRUE,56539,43492,13047,0.7692389324183307,0.23076106758166928,11057,10871,186,0.98317807723614,0.01682192276386
random_forest,none,FALSE,44227,43492,735,0.9833811924842291,0.016618807515770908,11057,10871,186,0.98317807723614,0.01682192276386
random_forest,smote,TRUE,56539,43492,13047,0.7692389324183307,0.23076106758166928,11057,10871,186,0.98317807723614,0.01682192276386
xgboost,none,FALSE,44227,43492,735,0.9833811924842291,0.016618807515770908,11057,10871,186,0.98317807723614,0.01682192276386
xgboost,smote,TRUE,56539,43492,13047,0.7692389324183307,0.23076106758166928,11057,10871,186,0.98317807723614,0.01682192276386
catboost,none,FALSE,44227,43492,735,0.9833811924842291,0.016618807515770908,11057,10871,186,0.98317807723614,0.01682192276386
catboost,smote,TRUE,56539,43492,13047,0.7692389324183307,0.23076106758166928,11057,10871,186,0.98317807723614,0.01682192276386
