"approach","seed","train_prop","model","strategy","over_ratio","threshold","n_train","n_test","train_yes_rate","test_yes_rate","accuracy","precision","recall","f1","roc_auc","pr_auc","predicted_positive","false_positives","false_negatives","true_positives","true_negatives","rank"
"full",1,0.25,"xgboost","none",NA,0.1,13821,41463,0.0172925258664351,0.0164483997781154,0.960446663290162,0.108019639934534,0.193548387096774,0.138655462184874,0.796879077507272,0.0755346094148083,1222,1090,550,132,39691,1
"full",1,0.25,"xgboost","smote_30",0.3,0.42,13821,41463,0.0172925258664351,0.0164483997781154,0.946602995441719,0.0577367205542725,0.146627565982405,0.0828500414250207,0.647033802110565,0.0310156245251217,1732,1632,582,100,39149,2
"full",1,0.25,"xgboost","smote_20",0.25,0.5,13821,41463,0.0172925258664351,0.0164483997781154,0.787883172949377,0.0255000584863727,0.319648093841642,0.0472321525295201,0.619217692443602,0.0228547011459903,8549,8331,464,218,32450,3
"full",1,0.25,"xgboost","smote_10",0.111,0.37,13821,41463,0.0172925258664351,0.0164483997781154,0.450666859609773,0.0193604524690015,0.652492668621701,0.0376051041534626,0.546326846618887,0.017843122084336,22985,22540,237,445,18241,4
"no_tariff",1,0.25,"xgboost","none",NA,0.08,13821,41463,0.0172925258664351,0.0164483997781154,0.94879772327135,0.093167701863354,0.241935483870968,0.134529147982063,0.789862178501417,0.071078626563093,1771,1606,517,165,39175,1
"no_tariff",1,0.25,"xgboost","smote_20",0.25,0.35,13821,41463,0.0172925258664351,0.0164483997781154,0.277596893615995,0.0176964903608502,0.787390029325513,0.0346150127308473,0.491549885839684,0.0265644628419234,30345,29808,145,537,10973,2
"no_tariff",1,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0172925258664351,0.0164483997781154,0.567855678556786,0.0180089485458613,0.472140762463343,0.034694537226592,0.491099766789505,0.0242872695808172,17880,17558,360,322,23223,3
"no_tariff",1,0.25,"xgboost","smote_30",0.3,0.19,13821,41463,0.0172925258664351,0.0164483997781154,0.849914381496756,0.015562161216996,0.13049853372434,0.027808154975785,0.474772461386444,0.0176689834522857,5719,5630,593,89,35151,4
"full",2,0.25,"xgboost","none",NA,0.1,13821,41463,0.0162072208957384,0.016810168101681,0.963678460314015,0.115128449096099,0.173601147776184,0.138443935926773,0.80110771128865,0.0744714945649242,1051,930,576,121,39836,1
"full",2,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0162072208957384,0.016810168101681,0.52239345922871,0.0248209311579785,0.715925394548063,0.0479784625739147,0.656355610714783,0.0299989757534331,20104,19605,198,499,21161,2
"full",2,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0162072208957384,0.016810168101681,0.820321732629091,0.0307157748436414,0.317073170731707,0.0560060821084643,0.629640730090503,0.0287740215058879,7195,6974,476,221,33792,3
"full",2,0.25,"xgboost","smote_20",0.25,0.49,13821,41463,0.0162072208957384,0.016810168101681,0.441067940091166,0.0208883962827181,0.703012912482066,0.0405713102877251,0.601263177440395,0.0239900345842697,23458,22968,207,490,17798,4
"no_tariff",2,0.25,"xgboost","none",NA,0.1,13821,41463,0.0162072208957384,0.016810168101681,0.969032631502786,0.108144192256342,0.116212338593974,0.112033195020747,0.780325296398925,0.0683576347989069,749,668,616,81,40098,1
"no_tariff",2,0.25,"xgboost","smote_30",0.3,0.35,13821,41463,0.0162072208957384,0.016810168101681,0.826134143694378,0.0270191748983149,0.266857962697274,0.0490700435298773,0.589854959026747,0.0223411696443887,6884,6698,511,186,34068,2
"no_tariff",2,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0162072208957384,0.016810168101681,0.474085329088585,0.0209685471792312,0.662840746054519,0.0406511218653762,0.577033858285286,0.039733993115299,22033,21571,235,462,19195,3
"no_tariff",2,0.25,"xgboost","smote_20",0.25,0.34,13821,41463,0.0162072208957384,0.016810168101681,0.836432481971879,0.0276354603322465,0.255380200860832,0.049873914261698,0.528077048340633,0.0242667715924975,6441,6263,519,178,34503,4
"full",3,0.25,"xgboost","none",NA,0.07,13821,41463,0.0152666232544678,0.0171237006487712,0.9531148252659,0.112923462986198,0.253521126760563,0.15625,0.817364313972565,0.0930439953182351,1594,1414,530,180,39339,1
"full",3,0.25,"xgboost","smote_10",0.111,0.47,13821,41463,0.0152666232544678,0.0171237006487712,0.883968839688397,0.0419924056287693,0.264788732394366,0.0724889145941777,0.662305652431014,0.0289915489662421,4477,4289,522,188,36464,2
"full",3,0.25,"xgboost","smote_30",0.3,0.37,13821,41463,0.0152666232544678,0.0171237006487712,0.896944263560283,0.0207156308851224,0.108450704225352,0.0347865371583465,0.520162051493314,0.0177572915983609,3717,3640,633,77,37113,3
"full",3,0.25,"xgboost","smote_20",0.25,0.4,13821,41463,0.0152666232544678,0.0171237006487712,0.934544051322866,0.0205741626794258,0.0605633802816901,0.0307142857142857,0.490370552517865,0.0170757699454348,2090,2047,667,43,38706,4
"no_tariff",3,0.25,"xgboost","none",NA,0.09,13821,41463,0.0152666232544678,0.0171237006487712,0.969249692496925,0.130718954248366,0.140845070422535,0.135593220338983,0.802236178586006,0.0833784400227437,765,665,610,100,40088,1
"no_tariff",3,0.25,"xgboost","smote_30",0.3,0.5,13821,41463,0.0152666232544678,0.0171237006487712,0.932542266599137,0.0368397691966267,0.116901408450704,0.0560242996962538,0.58265754564686,0.0298115196885136,2253,2170,627,83,38583,2
"no_tariff",3,0.25,"xgboost","smote_20",0.25,0.17,13821,41463,0.0152666232544678,0.0171237006487712,0.706171767600029,0.0215995329830706,0.364788732394366,0.0407841902212424,0.547456335194195,0.0212852592218499,11991,11732,451,259,29021,3
"no_tariff",3,0.25,"xgboost","smote_10",0.111,0.44,13821,41463,0.0152666232544678,0.0171237006487712,0.870728119045896,0.024928483857785,0.171830985915493,0.0435403283369022,0.526313970491415,0.0452429231511802,4894,4772,588,122,35981,4
"full",4,0.25,"xgboost","none",NA,0.09,13821,41463,0.0185225381665581,0.0160383956780744,0.954730723777826,0.0981432360742706,0.222556390977444,0.136217211228716,0.811551262832801,0.0748886084251222,1508,1360,517,148,39438,1
"full",4,0.25,"xgboost","smote_10",0.111,0.5,13821,41463,0.0185225381665581,0.0160383956780744,0.95079950799508,0.0444002650762094,0.100751879699248,0.0616375344986201,0.615067007191492,0.0259119456914674,1509,1442,598,67,39356,2
